Date,Close,High,Low,Open,Volume
26-09-2025,4.715499878,4.715499878,4.669499874,4.677000046,1901
29-09-2025,4.84100008,4.842000008,4.708499908,4.708499908,2748
30-09-2025,4.804999828,4.828000069,4.777999878,4.795499802,1426
01-10-2025,4.830500126,4.84250021,4.782000065,4.811500072,755
02-10-2025,4.897999763,4.918499947,4.84250021,4.84250021,1055
03-10-2025,5.058000088,5.061999798,4.954999924,4.954999924,995
06-10-2025,4.986999989,5.002500057,4.980500221,5.002500057,1007
07-10-2025,5.047999859,5.074999809,5.039500237,5.067500114,731
08-10-2025,5.046000004,5.058499813,5.019000053,5.044499874,685
09-10-2025,5.075500011,5.114999771,5.050000191,5.056499958,913
10-10-2025,4.848499775,5.116000175,4.834000111,5.116000175,960
13-10-2025,5.100500107,5.100500107,5.066999912,5.06799984,960
14-10-2025,4.980500221,4.987500191,4.912499905,4.912499905,551
15-10-2025,4.972000122,4.990499973,4.919000149,4.990499973,1056
16-10-2025,4.958000183,4.958000183,4.909999847,4.929500103,615
17-10-2025,4.931499958,4.959000111,4.931499958,4.954999924,686
20-10-2025,4.998000145,5.003499985,4.984000206,4.984000206,560
21-10-2025,4.929999828,4.940000057,4.920000076,4.940000057,674
22-10-2025,4.960999966,4.972000122,4.904500008,4.90500021,613
23-10-2025,5.081999779,5.081999779,4.965499878,4.96600008,403
24-10-2025,5.093500137,5.094500065,5.09250021,5.093999863,368
27-10-2025,5.140500069,5.199500084,5.106999874,5.1875,421
28-10-2025,5.140500069,5.142000198,5.079999924,5.079999924,670
29-10-2025,5.233500004,5.233500004,5.198999882,5.199500084,2276
30-10-2025,5.078000069,5.184000015,5.029500008,5.174499989,2249
31-10-2025,5.065499783,5.099500179,5.061500072,5.078499794,982
03-11-2025,5.046999931,5.088500023,5.027500153,5.087999821,0
04-11-2025,4.926000118,4.93900013,4.919499874,4.919499874,590
05-11-2025,4.962999821,4.966499805,4.959000111,4.959000111,606
06-11-2025,4.945499897,4.962999821,4.936500072,4.962500095,946
07-11-2025,4.938000202,4.945000172,4.935500145,4.944499969,599
10-11-2025,5.086999893,5.08949995,5.015999794,5.015999794,1048
11-11-2025,5.048500061,5.048500061,5.041999817,5.042500019,685
12-11-2025,5.08949995,5.126999855,5.037000179,5.043000221,656
13-11-2025,5.087500095,5.104000092,5.038000107,5.099500179,795
14-11-2025,5.049499989,5.051000118,5.048500061,5.051000118,780
17-11-2025,5,5.002500057,4.997499943,4.998000145,699
18-11-2025,4.962500095,4.976500034,4.940000057,4.940000057,767
19-11-2025,5.007999897,5.010499954,5.006000042,5.010000229,1148
20-11-2025,4.959499836,4.99849987,4.940000057,4.980000019,969
21-11-2025,5.008500099,5.013000011,4.920000076,4.920000076,616
24-11-2025,4.961999893,4.974999905,4.956999779,4.973999977,1045
25-11-2025,4.999499798,5.002999783,4.994999886,5.002999783,41200
26-11-2025,5.104499817,5.119999886,5.015999794,5.020500183,11335
28-11-2025,5.185500145,5.215000153,5.054999828,5.11950016,1349
01-12-2025,5.218999863,5.28000021,5.18599987,5.210000038,1396
02-12-2025,5.160999775,5.227499962,5.147999763,5.173999786,1740
03-12-2025,5.308000088,5.350999832,5.162000179,5.162000179,1005
04-12-2025,5.291500092,5.3125,5.232999802,5.308000088,1491
05-12-2025,5.381999969,5.400000095,5.269499779,5.281000137,949
08-12-2025,5.364500046,5.376999855,5.316999912,5.373000145,621
09-12-2025,5.240499973,5.336500168,5.236999989,5.336500168,440
10-12-2025,5.275499821,5.323999882,5.247499943,5.247499943,948
11-12-2025,5.427000046,5.438499928,5.328000069,5.334000111,990
12-12-2025,5.283500195,5.435500145,5.210000038,5.423999786,1213
15-12-2025,5.338500023,5.409999847,5.273499966,5.273499966,1068
16-12-2025,5.287000179,5.306000233,5.269999981,5.269999981,798
17-12-2025,5.363500118,5.368000031,5.315000057,5.315000057,1289
18-12-2025,5.366499901,5.386000156,5.322000027,5.322000027,860
19-12-2025,5.439499855,5.468999863,5.425000191,5.431000233,703
22-12-2025,5.4375,5.480000019,5.419499874,5.441500187,1789
23-12-2025,5.475999832,5.524499893,5.422999859,5.43599987,724
24-12-2025,5.49849987,5.56400013,5.46999979,5.5,1111
26-12-2025,5.766499996,5.78000021,5.609499931,5.609499931,876
29-12-2025,5.490499973,5.788499832,5.490499973,5.788499832,2538
30-12-2025,5.727499962,5.735499859,5.497499943,5.512000084,3056
31-12-2025,5.630000114,5.649000168,5.624499798,5.632500172,1095
02-01-2026,5.639999866,5.65500021,5.624000072,5.652500153,1307
05-01-2026,5.924499989,5.925499916,5.796500206,5.796500206,775
06-01-2026,6.010499954,6.016499996,5.90749979,5.960000038,1480
07-01-2026,5.809000015,5.967000008,5.796500206,5.967000008,1055
08-01-2026,5.746500015,5.798999786,5.671999931,5.798999786,1385
09-01-2026,5.855500221,5.855500221,5.855500221,5.855500221,965
12-01-2026,5.985000134,6.011499882,5.940999985,5.953499794,1078
13-01-2026,5.96999979,5.971000195,5.959000111,5.965000153,1211
14-01-2026,6.008999825,6.019000053,5.978000164,6,1011
15-01-2026,5.947999954,5.957499981,5.894000053,5.938000202,1068
16-01-2026,5.788499832,5.790999889,5.75,5.78000021,868
20-01-2026,5.772999763,5.879499912,5.747000217,5.849500179,772
21-01-2026,5.729499817,5.827000141,5.727499962,5.802499771,744
22-01-2026,5.742499828,5.763999939,5.700500011,5.700500011,981
23-01-2026,5.910999775,5.914500237,5.754000187,5.78399992,767
26-01-2026,5.984000206,5.988999844,5.878499985,5.980000019,720
27-01-2026,5.828499794,5.84100008,5.820499897,5.831999779,917
28-01-2026,5.892499924,5.894499779,5.881499767,5.881499767,1681
29-01-2026,6.175499916,6.507999897,6.131499767,6.157000065,3804
30-01-2026,5.896999836,6.154500008,5.745999813,6.154500008,1981
02-02-2026,5.801499844,5.859499931,5.568999767,5.739999771,1104
03-02-2026,6.0625,6.074500084,5.86950016,5.874499798,699
04-02-2026,5.826000214,6.078999996,5.826000214,6.059999943,831
05-02-2026,5.798999786,5.802999973,5.679999828,5.77699995,884
06-02-2026,5.863500118,5.864500046,5.650000095,5.650000095,421
09-02-2026,5.945000172,5.952499866,5.879499912,5.879499912,542
10-02-2026,5.895999908,5.901000023,5.875500202,5.887499809,445
11-02-2026,5.948999882,5.952499866,5.922999859,5.922999859,653
12-02-2026,5.770999908,5.972499847,5.75,5.972499847,1109
13-02-2026,5.792500019,5.798999786,5.699999809,5.795499802,1584
17-02-2026,5.632999897,5.636499882,5.632999897,5.634500027,941
18-02-2026,5.793499947,5.800000191,5.666999817,5.666999817,1156
19-02-2026,5.730000019,5.735000134,5.724999905,5.735000134,993
20-02-2026,5.830999851,5.860499859,5.727499962,5.742000103,658
23-02-2026,5.772999763,5.880000114,5.750500202,5.880000114,764
24-02-2026,5.922999859,5.928500175,5.854000092,5.854000092,937
25-02-2026,5.979499817,5.982999802,5.970499992,5.970499992,29280
26-02-2026,5.947000027,6.000500202,5.914000034,5.992499828,7727
27-02-2026,6.004499912,6.079999924,5.959499836,5.959499836,3035
02-03-2026,5.894499779,6.030499935,5.876999855,5.966499805,1695
03-03-2026,5.773499966,5.943999767,5.71999979,5.909999847,1489
04-03-2026,5.855000019,5.889500141,5.789000034,5.790500164,736
05-03-2026,5.752999783,5.848999977,5.730000019,5.848999977,1705
06-03-2026,5.756999969,5.791999817,5.735499859,5.785999775,1171
09-03-2026,5.800499916,5.846000195,5.630000114,5.72300005,1061
10-03-2026,5.903999805,5.90749979,5.829500198,5.844500065,737
11-03-2026,5.845499992,5.888500214,5.789500237,5.888500214,853
12-03-2026,5.824500084,5.852499962,5.774000168,5.852000237,636
13-03-2026,5.71449995,5.791999817,5.628499985,5.729000092,546
16-03-2026,5.790500164,5.809500217,5.630000114,5.630000114,571
17-03-2026,5.726500034,5.74849987,5.699999809,5.742000103,703
18-03-2026,5.553999901,5.734000206,5.440000057,5.72149992,1985
19-03-2026,5.433000088,5.480500221,5.289500237,5.480000019,1355
20-03-2026,5.34250021,5.514500141,5.268000126,5.514500141,1388
23-03-2026,5.439499855,5.5,5.421999931,5.452499866,1206
24-03-2026,5.422500134,5.5,5.375999928,5.393499851,1140
25-03-2026,5.528999805,5.53249979,5.493000031,5.53249979,811
26-03-2026,5.446499825,5.477000237,5.425000191,5.463500023,547
27-03-2026,5.467000008,5.467000008,5.467000008,5.467000008,4008
30-03-2026,5.475999832,5.499000072,5.401000023,5.401000023,2377
31-03-2026,5.587500095,5.627999783,5.483500004,5.483500004,1807
01-04-2026,5.624000072,5.631499767,5.584000111,5.616499901,1430
02-04-2026,5.563000202,5.613999844,5.548500061,5.548999786,0
06-04-2026,5.583499908,5.624499798,5.567500114,5.624499798,638
07-04-2026,5.544499874,5.567500114,5.544499874,5.567500114,542
08-04-2026,5.759500027,5.763000011,5.758999825,5.759500027,650
09-04-2026,5.748000145,5.748000145,5.727000237,5.727000237,2085
10-04-2026,5.870500088,5.870500088,5.770500183,5.777500153,683
13-04-2026,5.975999832,6,5.975999832,5.975999832,401
14-04-2026,6.070499897,6.079500198,6.06799984,6.074500084,485
15-04-2026,6.072000027,6.084000111,6.070000172,6.072999954,394
16-04-2026,6.066500187,6.06799984,6.019999981,6.065000057,1007
17-04-2026,6.103499889,6.105500221,6.077000141,6.101500034,842
20-04-2026,6.035999775,6.054500103,5.980000019,5.980000019,1058
21-04-2026,6.00150013,6.00150013,5.968500137,5.999499798,924
22-04-2026,6.119999886,6.119999886,6.112999916,6.115499973,1149
23-04-2026,6.075500011,6.075500011,6.020999908,6.022999763,957
24-04-2026,6.023499966,6.023499966,5.980000019,5.980000019,788
27-04-2026,6.018000126,6.021999836,6.018000126,6.021999836,914
28-04-2026,5.914500237,5.914500237,5.914500237,5.914500237,23966
29-04-2026,5.878499985,5.964000225,5.862500191,5.923500061,4555
30-04-2026,5.926000118,5.978000164,5.892000198,5.902999878,1622
01-05-2026,5.93200016,5.93599987,5.912000179,5.933499813,1399
04-05-2026,5.795000076,5.899000168,5.789999962,5.80700016,827
05-05-2026,5.94299984,5.967999935,5.819499969,5.820499897,640
06-05-2026,6.136499882,6.155499935,5.960499763,5.960499763,1278
07-05-2026,6.127500057,6.1875,6.110000134,6.145999908,738
08-05-2026,6.249000072,6.257999897,6.052499771,6.052499771,661
11-05-2026,6.413499832,6.447999954,6.257999897,6.257999897,609
12-05-2026,6.485000134,6.600999832,6.434999943,6.434999943,782
13-05-2026,6.635499954,6.644999981,6.596000195,6.596000195,910
14-05-2026,6.567500114,6.577000141,6.547500134,6.555500031,718
15-05-2026,6.25150013,6.519999981,6.231500149,6.519999981,899
18-05-2026,6.271999836,6.282000065,6.197000027,6.197000027,1463
19-05-2026,6.164999962,6.254499912,6.120999813,6.254499912,1254
20-05-2026,6.290500164,6.301499844,6.119999886,6.164000034,993
21-05-2026,6.256999969,6.261499882,6.21999979,6.21999979,1051
22-05-2026,6.342000008,6.34800005,6.340499878,6.34499979,992
26-05-2026,6.361000061,6.390999794,6.335000038,6.355000019,1840
27-05-2026,6.304999828,6.417500019,6.304999828,6.417500019,2474
28-05-2026,6.395999908,6.399499893,6.223499775,6.300000191,2596
29-05-2026,6.359499931,6.392000198,6.34499979,6.392000198,1317
01-06-2026,6.524000168,6.550000191,6.493999958,6.544000149,1053
02-06-2026,6.649499893,6.652500153,6.633999825,6.652500153,651
03-06-2026,6.480999947,6.552999973,6.475500107,6.552499771,1180
04-06-2026,6.511000156,6.525000095,6.49849987,6.505000114,541
05-06-2026,6.263500214,6.416500092,6.252500057,6.391499996,564
08-06-2026,6.329500198,6.363999844,6.329500198,6.363999844,608
09-06-2026,6.302499771,6.406000137,6.291999817,6.291999817,373
10-06-2026,6.249000072,6.25549984,6.249000072,6.255000114,509
11-06-2026,6.258999825,6.258999825,6.258999825,6.258999825,569
12-06-2026,6.430500031,6.430500031,6.40500021,6.40500021,414
15-06-2026,6.482500076,6.5,6.482500076,6.5,525
16-06-2026,6.488999844,6.498000145,6.473499775,6.498000145,1828
17-06-2026,6.481500149,6.481500149,6.335499763,6.472000122,1446
18-06-2026,6.374499798,6.374499798,6.374499798,6.374499798,1031
22-06-2026,6.356500149,6.356500149,6.356500149,6.356500149,1163
23-06-2026,6.140999794,6.178500175,6.123000145,6.177999973,1012
24-06-2026,5.94299984,6.039500237,5.928500175,6.039500237,507
25-06-2026,6.070499897,6.070499897,6.038000107,6.038000107,660
26-06-2026,6.141499996,6.141499996,6.141499996,6.141499996,16018
29-06-2026,6.097499847,6.175000191,6.071499825,6.120999813,11357
30-06-2026,6.192500114,6.251999855,6.050000191,6.112500191,1742
01-07-2026,6.12349987,6.196000099,6.071499825,6.193999767,1240
02-07-2026,6.114500046,6.154500008,6.070000172,6.104000092,1080
06-07-2026,6.177999973,6.200500011,6.146999836,6.154500008,1021
07-07-2026,6.171500206,6.204999924,6.117000103,6.169000149,603
08-07-2026,6.054500103,6.112500191,6.015500069,6.110499859,649
09-07-2026,6.215000153,6.236999989,6.069499969,6.069499969,663
10-07-2026,6.233500004,6.240499973,6.217000008,6.230500221,561
13-07-2026,6.232999802,6.295499802,6.230999947,6.28000021,560
14-07-2026,6.329999924,6.387000084,6.301000118,6.301000118,773
15-07-2026,6.293499947,6.339000225,6.293499947,6.316999912,941
16-07-2026,6.296000004,6.347000122,6.244999886,6.342000008,1289
17-07-2026,6.21999979,6.229000092,6.150000095,6.209499836,1819
20-07-2026,6.298999786,6.31099987,6.173999786,6.181000233,821
21-07-2026,6.511000156,6.520999908,6.445499897,6.445499897,812
22-07-2026,6.451000214,6.517000198,6.43599987,6.511000156,1105
23-07-2026,6.304999828,6.415999889,6.275499821,6.414999962,1155
24-07-2026,6.33949995,6.37650013,6.309000015,6.335999966,28473
